bike_id,times_used,duration,miles
29126,102.0,47346.0,151.24416666666664
29127,258.0,243975.0,779.3645833333334
29197,132.0,82638.0,263.9825000000001
29198,210.0,167526.0,535.1524999999999
29199,282.0,169788.0,542.3783333333336
29200,240.0,105108.0,335.7616666666668
29201,99.0,60489.0,193.22875000000002
29202,180.0,124602.0,398.0341666666668
29203,294.0,164196.0,524.5149999999999
29204,162.0,59298.0,189.42416666666668
29205,228.0,153078.0,488.9991666666662
29206,216.0,178806.0,571.1858333333336
29207,270.0,530283.0,1693.9595833333324
29208,42.0,105789.0,337.9370833333333
29210,243.0,158658.0,506.8241666666665
29211,207.0,110214.0,352.0724999999999
29212,117.0,75948.0,242.61166666666668
29213,177.0,83004.0,265.15166666666653
29214,204.0,107340.0,342.8916666666668
29215,300.0,184992.0,590.9466666666669
29216,192.0,113880.0,363.78333333333336
29217,162.0,90093.0,287.7970833333335
29218,117.0,246762.0,788.2674999999999
29219,201.0,154725.0,494.2604166666667
29220,120.0,77193.0,246.58874999999995
29221,102.0,56826.0,181.52750000000006
29222,198.0,70095.0,223.91458333333347
29223,162.0,90975.0,290.6145833333334
29224,225.0,158853.0,507.4470833333333
29225,231.0,120972.0,386.4383333333334
29226,243.0,151065.0,482.5687499999999
29227,165.0,91815.0,293.2979166666665
29228,165.0,94218.0,300.9741666666668
29230,285.0,560685.0,1791.0770833333331
29231,279.0,115221.0,368.0670833333331
29232,180.0,108753.0,347.40541666666655
29233,102.0,62433.0,199.43874999999994
29234,258.0,150168.0,479.7033333333328
29235,201.0,152250.0,486.35416666666646
29236,174.0,117231.0,374.4879166666665
29237,138.0,81033.0,258.8554166666667
29239,252.0,120672.0,385.4799999999999
29240,270.0,120228.0,384.06166666666655
29241,279.0,122076.0,389.96500000000003
29242,252.0,100350.0,320.56249999999994
29243,156.0,76116.0,243.14833333333323
29244,174.0,131328.0,419.52000000000004
29245,276.0,164625.0,525.8854166666665
29246,285.0,191934.0,613.1225000000002
29247,195.0,95013.0,303.5137500000002
29249,159.0,90609.0,289.4454166666666
29250,354.0,263373.0,841.3304166666672
29251,165.0,110976.0,354.50666666666655
29252,78.0,50769.0,162.17874999999998
29253,297.0,163335.0,521.7645833333337
29254,249.0,197316.0,630.315
29256,135.0,118110.0,377.29583333333346
29257,258.0,117921.0,376.6920833333337
29258,225.0,80955.0,258.60624999999993
29259,114.0,63195.0,201.87291666666667
29260,246.0,160365.0,512.2770833333329
29261,252.0,142602.0,455.5341666666665
29262,27.0,18054.0,57.67250000000001
29263,270.0,165036.0,527.1983333333337
29264,147.0,87762.0,280.3508333333334
29265,192.0,88626.0,283.1108333333333
29266,216.0,116283.0,371.4595833333333
29267,225.0,127104.0,406.02666666666653
29269,222.0,126708.0,404.7616666666666
29270,240.0,125268.0,400.1616666666668
29271,246.0,115191.0,367.9712500000001
29272,183.0,84870.0,271.11249999999995
29273,243.0,141531.0,452.11291666666705
29275,174.0,90489.0,289.06208333333336
29276,297.0,189246.0,604.5358333333338
29277,201.0,115671.0,369.5045833333333
29278,207.0,122256.0,390.54000000000013
29279,87.0,58236.0,186.03166666666664
29280,213.0,128313.0,409.8887499999999
29281,237.0,137298.0,438.59083333333336
29282,258.0,143973.0,459.91375
29283,54.0,28554.0,91.21416666666667
29284,279.0,132021.0,421.73375
29285,153.0,73032.0,233.29666666666662
29287,150.0,136707.0,436.70291666666674
29288,282.0,165156.0,527.5816666666668
29290,225.0,147804.0,472.1516666666669
29291,120.0,63972.0,204.35499999999996
29292,147.0,79053.0,252.5304166666666
29293,174.0,109077.0,348.44041666666664
29294,213.0,139008.0,444.05333333333306
29295,228.0,134034.0,428.1641666666666
29296,261.0,140049.0,447.37874999999997
29297,141.0,120171.0,383.8795833333334
29298,141.0,72291.0,230.92958333333326
29299,204.0,83781.0,267.63375
29300,48.0,21393.0,68.33874999999999
29301,186.0,120882.0,386.15083333333354
29302,192.0,90273.0,288.3720833333335
29303,177.0,92040.0,294.0166666666666
29305,6.0,1206.0,3.8525
29306,198.0,97059.0,310.0495833333333
29307,168.0,74727.0,238.71125000000006
29434,165.0,420051.0,1341.8295833333327
29435,204.0,254442.0,812.8008333333337
29437,138.0,100389.0,320.68708333333325
29438,219.0,133986.0,428.0108333333334
29439,216.0,124875.0,398.9062500000003
29440,105.0,147000.0,469.5833333333332
29441,42.0,17163.0,54.82625000000001
29442,144.0,101226.0,323.3608333333332
29443,147.0,107805.0,344.3770833333333
29444,129.0,72924.0,232.95166666666668
29445,225.0,168051.0,536.8295833333335
29446,198.0,104592.0,334.1133333333334
29447,201.0,98460.0,314.5249999999999
29448,294.0,163959.0,523.7579166666665
29449,150.0,74835.0,239.05625000000006
29450,63.0,159417.0,509.24875000000003
29452,216.0,160173.0,511.66375
29457,246.0,155655.0,497.2312500000004
29458,246.0,125688.0,401.5033333333332
29459,297.0,184137.0,588.2154166666668
29460,234.0,349905.0,1117.7520833333333
29461,126.0,60354.0,192.79750000000007
29462,135.0,65997.0,210.82374999999988
29463,294.0,157593.0,503.42208333333343
29465,213.0,93714.0,299.3641666666666
29466,279.0,183978.0,587.7075
29467,213.0,173649.0,554.7120833333333
29468,249.0,157083.0,501.7929166666669
29469,198.0,79017.0,252.41541666666666
29470,237.0,126993.0,405.67208333333355
29471,195.0,99483.0,317.79291666666666
29472,246.0,159762.0,510.35083333333284
29473,54.0,30141.0,96.28375000000003
29474,222.0,157500.0,503.12500000000017
29475,339.0,292044.0,932.9183333333332
29477,144.0,91065.0,290.90208333333334
29478,3.0,1578.0,5.0408333333333335
29479,156.0,77235.0,246.7229166666667
29480,174.0,144819.0,462.61624999999964
29481,168.0,82839.0,264.6245833333334
29482,231.0,87525.0,279.59375
29483,288.0,184569.0,589.5954166666666
29484,198.0,80085.0,255.82708333333326
29485,162.0,64833.0,207.1054166666666
29486,162.0,125388.0,400.5449999999999
29487,123.0,77262.0,246.80916666666653
29489,282.0,153222.0,489.4591666666666
29490,261.0,131403.0,419.75958333333335
29491,219.0,119862.0,382.89250000000004
29492,159.0,499848.0,1596.7366666666655
29493,84.0,47562.0,151.9341666666667
29494,210.0,246315.0,786.8395833333337
29495,297.0,234627.0,749.5029166666667
29496,189.0,91824.0,293.32666666666665
29497,240.0,144165.0,460.52708333333345
29498,213.0,207813.0,663.8470833333333
29499,219.0,98397.0,314.32374999999996
29500,189.0,131529.0,420.1620833333332
29502,243.0,109191.0,348.804583333333
29503,222.0,129912.0,414.99666666666644
29504,288.0,163227.0,521.4195833333331
29505,264.0,139032.0,444.1300000000001
29506,183.0,103680.0,331.2
29507,129.0,97167.0,310.3945833333334
29508,312.0,192288.0,614.2533333333337
29510,225.0,111621.0,356.56708333333336
29511,228.0,136644.0,436.50166666666644
29512,213.0,116952.0,373.59666666666686
29513,252.0,154641.0,493.99208333333326
29514,240.0,149646.0,478.0358333333333
29515,165.0,109389.0,349.43708333333325
29516,201.0,138423.0,442.1845833333335
29517,246.0,113208.0,361.6366666666667
29518,243.0,122238.0,390.48250000000013
29519,108.0,72765.0,232.44375000000005
29520,117.0,273192.0,872.6966666666664
29521,150.0,334998.0,1070.1324999999995
29522,102.0,99213.0,316.93041666666664
29523,213.0,102375.0,327.0312499999999
29524,165.0,146535.0,468.0979166666666
29525,321.0,164994.0,527.0641666666669
29526,246.0,104550.0,333.9791666666666
29527,213.0,134151.0,428.5379166666667
29528,357.0,284649.0,909.2954166666672
29529,135.0,102000.0,325.8333333333334
29530,246.0,178974.0,571.7225000000002
29532,258.0,117156.0,374.24833333333333
29534,309.0,233067.0,744.5195833333333
29535,210.0,90045.0,287.64375000000024
29536,258.0,123687.0,395.1112500000001
29537,174.0,110913.0,354.3054166666667
29538,258.0,143034.0,456.91416666666635
29539,168.0,122118.0,390.0991666666664
29540,258.0,171291.0,547.1795833333338
29541,288.0,133458.0,426.3241666666665
29542,240.0,109524.0,349.8683333333335
29544,225.0,109926.0,351.1524999999999
29545,78.0,38058.0,121.57416666666663
29546,186.0,117720.0,376.05000000000007
29547,210.0,96804.0,309.235
29548,81.0,51081.0,163.17541666666662
29549,156.0,64008.0,204.47000000000006
29550,213.0,114699.0,366.3995833333334
29551,264.0,344427.0,1100.2529166666668
29552,216.0,298512.0,953.5799999999996
29553,246.0,123936.0,395.90666666666687
29555,219.0,127776.0,408.17333333333346
29556,246.0,126102.0,402.8258333333334
29569,339.0,197862.0,632.0591666666664
29570,84.0,42978.0,137.29083333333332
29571,123.0,55677.0,177.85708333333332
29572,114.0,78435.0,250.55625
29573,291.0,132279.0,422.55791666666653
29575,288.0,132999.0,424.8579166666669
29576,258.0,201327.0,643.1279166666669
29577,252.0,124161.0,396.6254166666665
29578,198.0,98232.0,313.7966666666666
29579,120.0,86649.0,276.79541666666665
29580,168.0,83268.0,265.9950000000002
29581,156.0,64176.0,205.00666666666677
29582,102.0,47019.0,150.19958333333327
29583,249.0,123645.0,394.97708333333344
29584,240.0,107343.0,342.90125000000006
29586,243.0,126657.0,404.5987500000002
29587,258.0,149580.0,477.8249999999997
29588,276.0,141510.0,452.04583333333335
29589,174.0,138849.0,443.5454166666664
29591,234.0,132366.0,422.8358333333331
29592,90.0,53631.0,171.32124999999996
29593,15.0,9903.0,31.63458333333333
29594,57.0,29322.0,93.66749999999998
29595,267.0,308982.0,987.0258333333329
29598,309.0,139806.0,446.6024999999999
29599,219.0,103341.0,330.11708333333337
29600,231.0,262083.0,837.209583333333
29601,252.0,115983.0,370.50124999999986
